concept_id,name,name_en,alias,aliases_en,description,description_en,difficulty,source_chapters,source_images,confidence_max
c_001,二进制基础,Binary Number Fundamentals,二进制|二进制数,binary numbers|base two,理解二进制位权与基本表示,"Understand binary place values and basic notation",1,01 Number Systems,,1.00
c_002,逻辑门基础,Logic Gate Fundamentals,基本逻辑门|与或非门,logic gates|basic gates|AND OR NOT,理解与门、或门和非门的行为,"Understand the behavior of AND, OR, and NOT gates",1,02 Boolean Logic,,1.00
c_003,真值表,Truth Tables,逻辑真值表,truth table|logic table,用输入输出组合描述逻辑行为,"Describe logic behavior with input and output combinations",1,02 Boolean Logic,,1.00
c_004,布尔代数,Boolean Algebra,逻辑代数,Boolean logic|logic algebra,使用代数规则表示和变换逻辑函数,"Represent and transform logic functions with algebraic rules",2,02 Boolean Logic,,1.00
c_005,最小项与最大项,Minterms and Maxterms,最小项|最大项,minterms|maxterms|canonical terms,用规范项表达逻辑函数,"Express logic functions with canonical terms",2,03 Logic Simplification,,1.00
c_006,卡诺图构成,Karnaugh Map Construction,卡诺图|K图,Karnaugh map|K-map|K-map construction,按格雷码相邻规则组织最小项,"Arrange minterms using Gray-code adjacency",2,03 Logic Simplification,,1.00
c_007,卡诺图化简,Karnaugh Map Simplification,K图化简,K-map simplification|logic minimization,通过相邻分组得到更简洁的逻辑表达式,"Derive simpler logic expressions by grouping adjacent cells",3,03 Logic Simplification,,1.00
c_008,组合逻辑设计,Combinational Logic Design,组合电路设计,combinational circuit design,根据规格完成无状态逻辑电路设计,"Design stateless logic circuits from specifications",3,04 Combinational Circuits,,1.00
c_009,半加器,Half Adder,一位半加器,half-adder,产生两个一位二进制数的和与进位,"Produce sum and carry for two one-bit inputs",2,04 Combinational Circuits,,1.00
c_010,全加器,Full Adder,一位全加器,full-adder,在半加器基础上加入进位输入,"Add carry-in to one-bit binary addition",3,04 Combinational Circuits,,1.00
c_011,编码器,Encoder,二进制编码器,binary encoder,把独热输入转换为二进制编码,"Convert one-hot inputs into a binary code",3,04 Combinational Circuits,,1.00
c_012,锁存器,Latches,基本锁存器,latch|SR latch,用反馈保存一个二进制状态,"Use feedback to retain one binary state",3,05 Sequential Circuits,,1.00
c_013,触发器,Flip-Flops,基本触发器,flip-flop|D flip-flop,在时钟控制下保存状态,"Store state under clock control",3,05 Sequential Circuits,,1.00
c_014,寄存器,Registers,数据寄存器,data register|shift register,组合多个触发器保存多位数据,"Combine flip-flops to store multi-bit data",4,05 Sequential Circuits,,1.00
c_015,计数器,Counters,数字计数器,binary counter|digital counter,按时钟脉冲推进离散状态序列,"Advance through a discrete state sequence on clock pulses",4,05 Sequential Circuits,,1.00
